created_at,hashtags,text,BLM
2020-06-08,Marvel BlackLivesMatter,RT  : Even Van Jones recognizes   excellent Black Panther arc! #Marvel #BlackLivesMatter,neither
2020-06-08,udoroosenphotography blacklivesmatter manifesting manifestation brussels photographyisart photography bnw monochrome bnwphotography urbanphotography urban streetphotographer blacknwhite blm icantbreathe wecantbreathe,"""Dance for the end of this shit""
#udoroosenphotography #blacklivesmatter #manifesting #manifestation #brussels #photographyisart #photography   #bnw #monochrome #bnwphotography  #urbanphotography #urban #streetphotographer #blacknwhite #blm #icantbreathe #wecantbreathe  ",positive
2020-06-08, ,"RT  : jamais vu, friends and respect said hi again  ",neither
2020-06-09, ,RT  : I can not stop sobbing. Black lives matter because only a black man would be pulled over at gun point for MISSING A STOP SI…,positive
2020-06-11,BlackLivesMatter,RT  : Nah we cant allow this to happen forget about what happened on the tl focus on what matters now. #BlackLivesMatter,positive
2020-06-13, ,RT  : A lot of people have been asking me for a reading list on connections between racism and climate/environment. 📚 Thankfully…,neither
2020-06-13,BLM,"RT  : A white couple call the police on me, a person of color, for stencilling a #BLM chalk message on my own front retaining wal…",neither
2020-06-13, ,RT  : Two Black Trans women murdered. Barely any media coverage. Just imagine what the world would look like if we showed up fo…,positive
2020-06-14, ,"RT  : This is Lisa Alexander of Pacific Heights, San Francisco. Owner of a company called La Face Skincare. The more you know...",neither
2020-06-14,BLM,"RT  : A white couple call the police on me, a person of color, for stencilling a #BLM chalk message on my own front retaining wal…",positive
2020-06-14, ,RT  : I’m starting to believe that these White people are purposely doing this so they can have a free excuse to lose their job and…,neither
2020-06-15, ,"RT  : If a drunk unarmed man can beat you up and take your taser from you before you use it on him, then you’re not fit to be…",neither
2020-06-15, ,"RT  : The ""Karen"" in the video is Lisa Alexander who is the CEO of LAFACE Skincare. Feel free to boycott her products, thank me lat…",positive
2020-06-16, ,"RT  : This further undermines  ’s race commission. 

My review was welcomed by all parties: Corbyn, Cameron and May.…",positive
2020-06-17,BlackLivesMatter,"RT  : I’d rather donate to _____________, than give a dime to #BlackLivesMatter.

Mine: The Albino Dyslexic Midgets of Afghanistan…",negative
2020-06-18, ,RT  : I hope this helps you guys 🌚,neither
2020-06-19, ,RT  : Sam Darnold seeing Jamal Adams requested a trade,neither
2020-06-19,JUNETEENTH2020 BlackLivesMatter,Today's Ardaas: Black Lives Matter. ❤ #JUNETEENTH2020 #BlackLivesMatter,positive
2020-06-20, ,Who' gonna tell her about the most handsome man....me or??,neither
2020-06-24, ,"RT  : ""I imagine one of the reasons people cling to their hates so stubbornly is because they sense, once hate is gone, they will…",positive
2020-06-29, ,"RT  : If the videos look like this definitely RT,  no more videos or photos of protestors’ faces they are being targeted by the g…",neither
2020-06-29,BlackLivesMatter,"RT  : I don’t know why these aren’t trending anymore, but across the country #BlackLivesMatter protests haven’t stopped.

This…",positive
2020-06-30,BlackLivesMatter,"RT  : Don’t let the #BlackLivesMatter  protests disappear from our TLs.

This is Minneapolis right now. These protests haven’t…",positive
2018-03-01,ParklandStudents BlackLivesMatter,RT  : Y’all know that the #ParklandStudents and the #BlackLivesMatter kids are fighting for the same thing: they don’t want to be s…,positive
2016-03-01,NowWatching BlackLivesMatter,"  #NowWatching   ""Black Jesus"" #BlackLivesMatter   ",neither
2017-03-01,altright blacktwitter,RT  : Human Biodiversity: the Pseudoscientific Racism of the Alt-Right   via #altright #blacktwitter #…,positive
2017-03-01, ,"RT  : My favorite picture of Trayvon. Did you know he went to space camp?

The media has a different narrative for Black boys. #…",positive
2017-03-10, ,Im really want to fart now,neither
2018-03-10,TheResistance Resistance ImpeachTrump NotMyPresident,"RT  : Vote   For Governor Of GA 🗳Primary Election 5/22/18

#TheResistance #Resistance #ImpeachTrump #NotMyPresident #Res…",positive
2016-03-10,BlackLivesMatter,How #BlackLivesMatter Turned Hashtags Into Action   via   thanks  ,positive
2017-03-10,BlackLivesMatter,Watch opening bit on white privilege. #BlackLivesMatter       via,positive
2016-03-12,BlackLivesMatters AllLivesMatter,ignorant? i grew up to be racist bc im surrounded people like you. #BlackLivesMatters only? now that ignorant #AllLivesMatter,negative
2018-03-12,Florida gunreform progress alllivesmatter putitdown,So pleased to see some form of gun reform be accomplished in #Florida. #gunreform #progress #alllivesmatter #putitdown,neither
2018-03-14, ,"RT  : If you were afraid to speak up when kids in Ferguson protested for the same reason kids are protesting today, please spend…",positive
2018-03-14, ,"Fact 3) Roliths character first appeared in the game of Dragonfable, and it's one of the first major NPC's the hero meets in that game.",neither
2018-03-14, ,RT  : Boy's lemonade stand raises money for fallen cop's family. 6-year-old Malachi Fronczak opens 'Malachi's Magnificent Lemonade'…,neither
2016-03-15,BernieSanders BernieSanders2016 FeeltheBern BlackLivesMatter,Spike Lee endorses Bernie Sanders ☆   ☆ #BernieSanders #BernieSanders2016 #FeeltheBern ☆ #BlackLivesMatter,positive
2017-03-17,BruceLee GVPrakash,"RT  : #BruceLee Review - An interesting idea gone horribly wrong! (Rating - 1.5/5)
 

#GVPrakash",neither
2016-03-20, ,"   White Lives Matter/ All Lives Matter! Especially Blue Lives Matter! Thanks Barrack, for setting US back decades on race😬.",negative
2018-03-22, ,"RT  : As a Black man,
A Dad,
A Husband,
A Son,
A brother,
A Human Being...

I am saddened and sickened by what happened to Stepho…",neither
2018-03-22, ,"RT  : As a Black man,
A Dad,
A Husband,
A Son,
A brother,
A Human Being...

I am saddened and sickened by what happened to Stepho??,
4371,6/6/2020,blacklivesmatter,RT  : All these dumb white girls shaving their heads for #blacklivesmatter. Hope the virtual signal is worth it when you?™re re??
6712,6/10/2020,seatatthetable,RT  : Making real change looks like   having a #seatatthetable ... Kudos to   for taking these baby steps!  #Osca??
4649,6/9/2020,BlackLivesMatter,RT  : BTS fans raised $1 million for #BlackLivesMatter as well as bailout funds and groups fighting racial injustice",positive
2018-03-22, ,"RT  : As a Black man,
A Dad,
A Husband,
A Son,
A brother,
A Human Being...

I am saddened and sickened by what happened to Stepho…",positive
2016-03-24,YXE BlackLivesMatter BLMTOtentcity,.  sending you love and warmth from #YXE #BlackLivesMatter #BLMTOtentcity,positive
2017-03-24, ,PUB issues Area Forecast Discussion (AFD)  ,neither
2018-03-24,MarchForOurLives,"RT  : As #MarchForOurLives goes on today (which is amazing), we absolutely must remember this:

Black people were tear gassed, b…",positive
2017-03-25, ,"RT  : Hundreds gather to remember Quanice Hayes, a black teen killed by a Portland police officer.   #Blac…",positive
2018-03-25,MarchForOurLives Charlottesville,RT  : #MarchForOurLives #Charlottesville at the Pavilion downtown. Remember gun violence disproportionately impacts communities…,positive
2018-03-25,SayHerName Beautiful,"RT  : Sandra Bland, 28. 
Victim of police brutality. 
Traffic Stop. 
July 13, 2015. 
#SayHerName #Beautiful 
#BlackWomensLive…",neither
2018-03-25,BlackLivesMatter,"RT  : I'm proud of these Parkland kids, but I was and am proud of young #BlackLivesMatter activists, who caught sheer HELL from l??,
4495,6/19/2020,BlackLivesMatter,RT  : Another video of a #BlackLivesMatterÂ  mob beating an English patriot who came to London to defend WW2 monuments. The BBC??
6533,8/4/2016,BLM BlueLivesMatter,RT  : There are so many people making money off the fake #BLM movement and it's sickening to average Americans #BlueLivesMatter @??
4309,5/30/2020,BlackLivesMatter,RT  : BlackLivesMatter",positive
2018-03-27, ,"RT  : The officer put a gun to the head of Alton Sterling and said, “I’ll kill you, bitch.” Ninety seconds later, he was dead.…",neither
2018-03-27, ,"RT  : The officer put a gun to the head of Alton Sterling and said, “I’ll kill you, bitch.” Ninety seconds later, he was dead.…",positive
2018-03-27,BlackLivesMatter tcot,".  Sharpton, #BlackLivesMatter team up to embrace notorious racist and anti-Semite Louis Farrakhan   #tcot",negative
2018-03-27, ,"RT  : Alton Sterling was a victim of gun violence and, as we fight for our legislators to take action, we can't forget people wh…",positive
2018-03-28, ,RT  : ABSOLUTELY‼️               …,neither
2017-03-28,BlackLivesMatter,"RT  : ""Their system isn't broken; it's fixed.""  - Re Hu #BlackLivesMatter",positive
2018-03-03,LEOs BlackLivesMatter GunReformNow,"RT  : After calling 4 the assassination of our #LEOs, #BlackLivesMatter is NOW calling 4 #GunReformNow after a black officer…",negative
2019-03-03,StephonClark,RT  : Sacramento DA announces that she will not charge the officers who killed #StephonClark. &amp; once again a Black mother has to…,positive
2018-03-03,SinglePayer MedicareForAll 1u nurses BlackLivesMatter,RT  : WV State Capitol Sees Struggle #SinglePayer #MedicareForAll #1u #nurses #BlackLivesMatter      …,positive
2018-03-31, ,"RT  : Trayvon Martin 
Sandra Bland
Mike Brown
Korryn Gaines
Eric Garner
Antonio Martin 
Philando Castile 
Terence Crutcher
Sa…",neither
2016-03-05,AllLivesMatter,  Yes ma'am!! #AllLivesMatter,neither
2018-03-06, ,"RT  : Eggciting for Chocoholics everywhere
Just Follow   &amp; Retweet for a chance to win This big Easter Eggs 
Ends 18th…",neither
2018-03-07,kidlitwomen TimesUp NeverAgainMSD BlackLivesMatter,I want to send love out to the people working to build a better future for all of us. Thanks to the voices of #kidlitwomen #TimesUp #NeverAgainMSD #BlackLivesMatter &amp; the rest who are out there fighting. I’m grateful for your fierce brightness.  ,positive
2017-03-07,BlackLivesMatter chatelaine cbc racism,Desmond Cole's new documentary spotlights anti-black racism in Canada #BlackLivesMatter #chatelaine #cbc #racism,positive
2018-03-07, ,RT  : “...shouldn’t we also pay attention when young people express their pain and frustration over the violent killings of un…,neither
2018-03-07,TheResistance Resistance ImpeachTrump NotMyPresident Resist Trump DemForce VoteThemOut2018,"RT  : Why I'm NOT A Republican

#TheResistance #Resistance #ImpeachTrump #NotMyPresident #Resist #Trump #DemForce #VoteThemOut2018 #…",neither
2016-03-08,bible blacklivesmatter EasterSunday goodfriday blackhistory africanamerican iuic easter,easter is paganism! #bible #blacklivesmatter #EasterSunday #goodfriday #blackhistory #africanamerican #iuic #easter  ,neither
2018-04-01, ,"RT  : Trayvon Martin 
Sandra Bland
Mike Brown
Korryn Gaines
Eric Garner
Antonio Martin 
Philando Castile 
Terence Crutcher
Sa…",neither
2018-04-01,blacklivesmatter,"Here go America again, stuck in time, no growth, maturity or wisdom, just pure ignorance
#blacklivesmatter or do they?",positive
2018-04-11, ,"Police Respond to Mall Shooting:

Suspect died at the Scene..

We know who likes to kill with Knives...
  ",neither
2017-04-13,ThinBlueLine BlueLivesMatter PJNET,"RT  : MT  : America, The War On Cops must STOP. #ThinBlueLine   #BlueLivesMatter #PJNET",negative
2018-04-13, ,"RT  : As context, the city is about 6% African American.  ",neither
2018-04-13, ,RT  : Black teen in suburban Detroit missed the bus and forgot his phone. He stopped to ask for directions and was shot at by homeown…,positive
2018-04-14, ,"RT  : This white cop punches a pregnant black woman in the head, then slams her on her stomach...because that’s where we are toda…",positive
2018-04-14, ,"RT  : I hope the Philly Starbucks incident helps all of us acknowledge this fact:

THIS HAPPENS EVERY DAY IN EVERY CITY IN AMERICA.…",positive
2016-04-15,Donaldson BlueJays BlueLivesMatter,Smoothest swing #Donaldson #BlueJays #BlueLivesMatter      ,neither
2017-04-15, ,Sorry but Zara who?,neither
2018-04-19, ,RT  : Unbelievable. This woman saved a cop's life by shooting the drug addict trying to kill him...and the scumbag's family is s…,neither
2018-04-21,BlueLivesMatter BackTheBlue,"RT  : Proposed Law Says Suspects With Imitation Weapons Can't Be Shot By Police
#BlueLivesMatter #BackTheBlue
Full Story:  ",negative
2019-04-21,BLEXIT BlacksWalkAwayFromDemocrats WalkAwayFromDemocrats BlackTwitter Democrats BlackHistory BlackLivesMatter p2 inners Racist Racism RaceBaiting WalkAwayFromDemocratHate,"#BLEXIT #BlacksWalkAwayFromDemocrats
#WalkAwayFromDemocrats
Former #BlackTwitter warriors give their testimonies:   (LifeLong #Democrats awakened)
#BlackHistory #BlackLivesMatter? #p2 #inners
#Racist #Racism #RaceBaiting no more 
#WalkAwayFromDemocratHate",positive
2017-04-22, ,RT  : black lives matter... but issa no for me dawg  ,neither
2017-04-22, ,RT  : black lives matter... but issa no for me dawg,neither
2017-04-22, ,RT  : black lives matter... but issa no for me dawg,neither
2017-04-23,jarawa,"RT  : African-Asians are treated like animals in a zoo Sign the petition to keep the #jarawa people safe  
#b…",positive
2018-04-23,WaffleHouseShooting NNPA BeInformed Blackpress Blacklivesmatter,"The 4 victims in the #WaffleHouseShooting have been identified. 

- DeEbony Groves, 21 
- Joe Perez, 20
- Akilah Desilva, 23
- Taurean C. Sanderlin, 29

Our hearts are with the families as they deal with this senseless tragedy. #NNPA #BeInformed #Blackpress #Blacklivesmatter  ",positive
2018-04-25,actor black blacklivesmatter blackmen sexyblackmen actorslife,"Call me papi🤤💦😈 

#actor #black #blacklivesmatter #blackmen #sexyblackmen #actorslife…  ",negative
2018-04-27, ,"RT  : This is police work? Or how slave catchers would beat down the enslaved?

As he begs for mercy, Cops handcuff him, slam him t…",positive
2016-04-28,RevPinkney FreeRevPinkney BlackLivesMatter,#RevPinkney was Convicted With No Evidence by an All-White Jury! #FreeRevPinkney #BlackLivesMatter,positive
2017-04-03,alllivesmatter,RT  : Annoying problematic meathead gay. Advocates for LGBT rights but thinks #alllivesmatter  ,positive
2016-04-05, ,"  All lives matter, Chinese, Indians, Latinos, middle Eastern, Europeans, etc. This is not a Black &amp; White society.",neither
2018-04-05, ,BREAKING: Police Report 'Several Officers Down' In Utah   via  ,neither
2017-04-06,Pepsi BlackLivesMatter,"RT  : Breaking: #Pepsi pull ad. Say ""we also apologise for putting Kendall Jenner in this position"" #BlackLivesMatter 

 ",neither
2016-04-07, ,ERIC GARNERS MOTHER COMES2NEW YORK 2STAND WITH HILLARY STATING NOT ONLY DOES SHE STAND FOR#BLACKLIVESMATTER BUT GUN SENSE#HillarySoQualified,positive
2018-04-09,BlackLivesMatter,RT  : Meet the young feminists leading the fight for black lives in Chicago:   #BlackLivesMatter  ,positive
2018-04-09,FBR TheResistance Resistance ImpeachTrump,"RT  : #FBR party

LIKE❤

RT♻️

FOLLOW ALL WHO RT🌊

      #TheResistance #Resistance #ImpeachTrump #NotMyP…",neither
2018-04-09,KorrynGaines BlackLivesMatter,RT  : Good morning beautiful Black people. It’s time to wake up. #KorrynGaines #BlackLivesMatter,positive
2017-05-11,BackTheBlue StandWithPolice BlueLivesMatter PJNET,"MT  : It's time to #BackTheBlue! Support our COMMUNITY heroes! #StandWithPolice 
  #BlueLivesMatter #PJNET",neither
2019-05-11, ,"RT  : 🚔Final Goodbye to Officer Jordan Sheldon Shot &amp; killed during a traffic stop 🚔 in Mooresville, NC

Day is done, gone the s…",neither
2017-05-12, ,"RT  : ""Jimin hates yt people"" was somethin small on the TL but now u sensitive, pimple-backed, alllivesmatter bitches have made it…",neither
2018-05-12,BlackLivesMatter,This is why we keep fighting for justice #BlackLivesMatter,positive
2017-05-13,ImpeachTrump Resist TrumpRussia RussiaGate BlackLivesMatter ClimateMarch U2 WomensMarch,"RT  : I AM THE RESISTANCE
#ImpeachTrump #Resist #TrumpRussia
#RussiaGate #BlackLivesMatter 
#ClimateMarch #U2 #WomensMarch
 ",neither
2018-05-15,LyricVideo BarsandMelody BlackLivesMatter,The Mystery of Black History   via   #LyricVideo #BarsandMelody #BlackLivesMatter,positive
2019-05-15, ,"RT  : Heading to talk to House subcommittee on Hate Crimes today.  I can only tell what I know.  I know she’s watching over me, bu…",positive
2019-05-15, ,"RT  : Newton’s 3rd Law of Motion:

For every action-
There is an equal &amp; opposite reaction.

The Left, despite their claims,
Really…",neither
2017-05-16,BlueLivesMatter,"Thank you, President Trump! 💙💙💙🇺🇸🇺🇸🇺🇸🇺🇸
#BlueLivesMatter  ",neither
2017-05-16, ,"RT  : MT  : In 2017, let's TEACH OUR CHILDREN to honor &amp; trust POLICE!     #BlueLiv…",negative
2017-05-18,BlackLivesMatter,Getting good vibes from this professor #BlackLivesMatter,positive
2018-05-18,BackTheBlue BlueLivesMatter LawEnforcement 2A 2ADefenders ThankYouLawEnforement SantaFeHighSchoolShooting SantaFeHighSchool,"                                    Thank you  ‼️
✅ Followed all

💙💙💙Put law enforcement in schools.💙💙💙

#BackTheBlue #BlueLivesMatter #LawEnforcement #2A #2ADefenders #ThankYouLawEnforement #SantaFeHighSchoolShooting #SantaFeHighSchool",positive
2017-05-02,AltonSterling BlacklivesMatter,"⚡️ “Report: DOJ will not charge officers in the shooting death of Alton Sterling”
#AltonSterling #BlacklivesMatter
 ",positive
2018-05-02,StephonClark,"RT  : ICYMI: #StephonClark was killed by cops while holding his cellphone. 

NOW: The NRA is marketing guns THAT LOOK LIKE CELLPH…",positive
2016-05-20, ,"I can't believe Blake Lively said she had an ""All Lives Matter booty""",positive
2017-05-20,BlackLivesMatter SUPPORTPUBLIC,  #BlackLivesMatter #SUPPORTPUBLIC Adults Must STOP Hitting Children. ..Children Grow Up Stronger Not Weaker If They Aren't Abused,positive
2016-05-24,BlueLivesMatter,This has to stop! #BlueLivesMatter thanks to all of our law enforcement officers for what you do to keep us safe!,neither
2017-05-24, ,"If your family is safe and secure while you're reading this, Thank a Cop - and good citizens like this woman!  ",negative
2018-05-24, ,"my friend was explaining the difference between black lives matter and all lives matter today in class and some girl deadass said “if you agree that everyone’s life matters equally, then what’s the point of blm?” bitch....  ",positive
2017-05-26,blacklivesmatter,"A bit late but glad   is honoring the late anti-racist and Coburg boy, Peter Norman. #blacklivesmatter  ",positive
2017-05-27,BlackLove Unity BlackLivesMatter,Let's Get Back to Us!!! #BlackLove #Unity #BlackLivesMatter  ,positive
2020-05-27,BlackLivesMatter,RT  : what you as a non-black person can do to support #BlackLivesMatter : a thread.,positive
2020-05-27,GeorgeFloyd ICantBreathe BlackLivesMatter,RT  : I am heartbroken and outraged. #GeorgeFloyd #ICantBreathe #BlackLivesMatter,positive
2020-05-27,BlackLivesMatter,RT  : #BlackLivesMatter and now is the perfect time for a revolution,positive
2020-05-27, ,"RT  : I’m glad Mr Cooper is alive to tell his story, we’ve seen three in the last few weeks killed by vigilantes and police that…",positive
2020-05-27,AllLivesMatter,RT  : any of you #AllLivesMatter hos wanna fight??,positive
2020-05-27, ,"RT  : Today's streaming party has been cancelled in light of the call for justice that George Floyd deserves. 

Instead, please…",positive
2020-05-27, ,RT  : Niall Horan - so long just listen for a minute sounds beautiful  ,neither
2020-05-27, ,"RT  : IN  THE UNITED STATES OF AMERICA

Appropriate          v.        Inappropriate
 Kneeling                          Kneeli…",positive
2020-05-28, ,"RT  : my eyes are so sick of seeing the word “simp” everywhere 

Please learn new word",neither
2020-05-28,BlackLivesMatter,unfollow and block me if you don’t support #BlackLivesMatter because no way in hell am i gonna be associated with someone who supports police brutality and ignores white privilege,positive
2020-05-29, ,RT  :       Twitter fact checked China in March. Try to keep up. I’m sure it’s diffi…,neither
2020-05-29,BlackLivesMatter,RT  : this is why we riot #BlackLivesMatter.  ,positive
2020-05-29,JusticForGeorgeFloyd,"RT  : You notice how people protesting for #JusticForGeorgeFloyd by throwing water bottles are getting tear-gassed, but a bunch…",positive
2020-05-29,JusticeForGeorgeFloyd,"RT  : Take a moment of your time and e-mail Minneapolis Police to ask them for #JusticeForGeorgeFloyd! 

The e-mail template is a…",positive
2020-05-29, ,RT  : this is Johnathan Ferrel. he was looking for help following a car accident earlier that morning. he knocked on a lady’s…,neither
2020-05-29, ,this cop really made the decision to come to florida :/ does he not know that shit is about to pop off :/ :/ :/,neither
2020-05-29,consent powerful oppression PeopleFirst HumanCapital,RT  : #consent is #powerful 🔅 When we see #oppression we often see a lack of consent. #PeopleFirst #HumanCapital #BlackLivesMat…,neither
2020-05-29,BlackLivesMatter,"RT  : #BlackLivesMatter 

Quote and pass it the fuck on!",positive
2020-05-29,UP10TION MomentwithU10T 업텐션_행복한_순간,"RT  : We miss you, leader..

  #UP10TION #MomentwithU10T #업텐션_행복한_순간 
  ",neither
2017-05-03,BlackLivesMatter,"Say their name. Dexter Pernell Bethea, 2015-04-08 #BlackLivesMatter.",positive
2018-05-03,Charlottesville,"RT  : The man who pulled the gun on our photographer,  , in #Charlottesville while he was taking the images that helped…",positive
2018-05-03,mutekanye Pompeo thursdaythoughts MAGA Trump TrumpTrain Iran KanyeWest CandaceOwens NobelPeacePrize NorthKorea NRA QAnon stormydaniels Kanye BLM BlackLivesMatter,"I need follow backs 

I'm up against 5k and will have to start purging 

Thanks and maga!

#mutekanye #Pompeo #thursdaythoughts  #MAGA #Trump #TrumpTrain #Iran #KanyeWest #CandaceOwens #NobelPeacePrize #NorthKorea #NRA #QAnon #stormydaniels #Kanye #BLM #BlackLivesMatter bb",neither
2020-05-30, ,"RT  : Stop

Take a breath. 

What’s beneath the riots and looting? Why do you think people like you and me would commit holistic…",positive
2020-05-30, ,"RT  : In the wake of the brutal police murder of George Floyd, Columbus DSA stands in unconditional solidarity with working cla…",positive
2020-05-30, ,"RT  : Someone prepared a google document filled with extensive lists of petitions, places you can donate to, info on how to cont…",neither
2020-05-30,blacklivesmatter,RT  : please please PLEASE tell me if i am following anyone that does not support #blacklivesmatter or acab or ANYTHING like t…,positive
2020-05-30,BlackLivesMatter,"It only takes 3secs can you rt and like it?? stop racism
#BlackLivesMatter  ",positive
2020-05-30,BlackLivesMatter JusticeForGeorgeFlyod icantbreathe,"  Powerful, intelligent and above all RIGHT.
How anyone could counter-argue this is beyond me. 

#BlackLivesMatter #JusticeForGeorgeFlyod #icantbreathe",positive
2020-05-30, ,RT  : Oh bITCH WE GOT THE AMISH OUT THEY CRIB,neither
2020-05-30,BlackLivesMatter,"RT  : BlackLivesMatter
-retweet
-reply with #BlackLivesMatter        
-do the same and tag 6 people: 

   …",positive
2020-05-30,BlackLivesMatter,"This is the world we live in.

Vote in November.
Wear a fucking mask.
#BlackLivesMatter",positive
2020-05-30,Amish AllLivesMatter BlackLivesMatter RIPGeorgeFloyd Minneapolisprotests,RT  : Support from the #Amish community in Minneapolis #AllLivesMatter #BlackLivesMatter #RIPGeorgeFloyd #Minneapolisprotests,positive
2020-05-31,BlackLivesMatter,"RT  : ""Ignorance allied with power is the most ferocious enemy justice can have"" - James Baldwin #BlackLivesMatter  ",positive
2020-05-31,BlackLivesMatter riots2020 JusticeForGeorgeFlyod,RT  : “NY’s Finest”. Disgusting.  #BlackLivesMatter #riots2020 #JusticeForGeorgeFlyod,positive
2020-05-31, ,RT  : Insurrection.,neither
2020-05-31,DenverProtest GeorgeFloyd,"at Colorado’s Capitol right now, thousands of protesters are lying face down with their hands behind their backs chanting “I can’t breathe.” They’re doing this for 9 mins.  #DenverProtest #GeorgeFloyd  ",positive
2020-05-31,BlackLivesMatter,"My friend was at a protest last night. They were peaceful, no one was hurting anyone, they were wearing masks and they were calm. All of the sudden the cops roll up and tear gas them. Most of these protests are calm until the cops show up. #BlackLivesMatter",positive
2020-05-31, ,"RT  : ""Destruction of property is not a valid form of protest""

Jesus:  ",positive
2020-05-31, ,"RT  : If you are able, make today the day you donate to a bail fund.

This is one of the ways we can take care of our own commu…",positive
2018-05-04,BlackGirlsRock blackgirlsmagic,RT  : This girl is 🔥🔥🔥. She even got a shout out in her tl from Ice T. I'm a screaming!!! #BlackGirlsRock #blackgirlsmagic #…,neither
2020-05-05,blackafnetflix BlackLivesMatter BlackTechTwitter,How Can We Prevent a Pandemic Like COVID-19 From Happening Again? #blackafnetflix #BlackLivesMatter #BlackTechTwitter   ,positive
2017-05-06,BlackLivesMatter,RT  : I found out via Facebook thru mutual friends. Here's an *official* news report.   #BlackLivesMatter #…,neither
2020-05-06, ,RT  : Please Share Ahmaud Arbery was an innocent 25 year old black man that was murdered by two white men😔 He jogged in the area e…,positive
2017-05-09, ,"RT  : HELP bring this killer to JUSTICE &amp; RT. This killer is hiding somewhere in the U.S. after killing a mother of 3. 
 ",neither
2019-05-09, ,"RT  : THIS IS NOT OK! The system fails black men every time. These racist cops racially profile, brutalize, and kill innocent blac…",positive
2020-06-01, ,RT  : Share widely: National guard and MPD sweeping our residential street. Shooting paint canisters at us on our own front porch.…,positive
2020-06-01, ,RT  :   I said it before EVERYTHING they claimed Obama was going to do they do,positive
2020-06-01,Anonymous,"RT  : 📹Another white cop caught on camera beating a 14 year old black girl in the US. This Is So 💔 Breaking! 
#Anonymous
#an…",positive
2020-06-10,BlackLivesMatter,"Dear #BlackLivesMatter, fuck your demands.",negative
2020-06-10, ,"RT  : Imagine living in a society that sees these three families’ grief and says, “Yeah, but...” It isn’t hard. It’s way too fuc…",neither
2020-06-10,Pride,"RT  : words cannot describe how much I resent a billionaire cis-hetero author choosing not only #Pride month, but historic world…",positive
2020-06-10, ,RT  : Saying “All lives matter” to Siri now redirects to,neither
2020-06-10,BlackLivesMatter liberals,"#BlackLivesMatter this will never make the news 
#liberals are you protesting for this man...does it look like he has white privilege.  ",positive
2020-06-10,Trollz,"RT  : A portion of the proceeds from #Trollz including merch items, will be going directly to The Bail Project Inc. The fund prov…",positive
2020-06-10,BlackLivesMatter,"RT  : If   believe that #BlackLivesMatter, they can prove this by refusing to renew their contract with  , who endorse…",neither
2020-06-10, ,"RT  : Racist mfs is through, y?™all done brought the airbenders out",neither
2020-06-10, ,"RT  : I had a professor who always talked about ""the necessity of existence."" Basically, some things should be created just s…",neither
2020-06-11,BlackLivesMatter,"RT  : I don't know why these images have disappeared from our TLs, but the #BlackLivesMatter protests have not stopped.

Dozens…",neither
2017-06-11,PJNET PoliceLivesMatter BlueLivesMatter BackTheBlue,"Stand side by side w POLICE, our local heroes! 

#PJNET #PoliceLivesMatter #BlueLivesMatter #BackTheBlue 

 ",negative
2020-06-11,BlackLivesMatter,"RT  : I don't know why these images have disappeared from our TLs, but the #BlackLivesMatter protests have not stopped.

Dozens…",neither
2020-06-11,BlackLivesMatter,RT  : Nah we cant allow this to happen forget about what happened on the tl focus on what matters now. #BlackLivesMatter  ,positive
2020-06-11,BlackLivesMatter,"RT  : I don't know why these images have disappeared from our TLs, but the #BlackLivesMatter protests have not stopped.

Dozens…",neither
2020-06-11,DefundSJPD,"RT  : Sign-On to #DefundSJPD letter!✊🏾

In the name, spirit, &amp; memory of those killed by San Jose police, the families of those kill…",positive
2020-06-12,BlackLivesMatter COVID19,"RT  : #BlackLivesMatter, #COVID19, and the fragility of democratic institutions in America are converging to challenge our a…",positive
2020-06-12, ,RT  : These murals are not keeping any more Black bodies alive. No you are not “Done.”,positive
2020-06-12,BlackLivesMatter CHAZ,"RT  : A masterpiece was created in the Capitol Hill Autonomous Zone today 

#BlackLivesMatter #CHAZ  ",positive
2020-06-12,BlackLivesMatter,RT  : Two Black trans women were murdered this week while the world marched for #BlackLivesMatter. Both Riah Milton and Domin…,positive
2020-06-12, ,RT  : Every single letter was designed by Black artists from the Seattle area. 🥰,positive
2020-06-12,BlackLivesMatter,RT  : The most amazing part of this Nurses for #BlackLivesMatter March: most of these nurses went BACK to their shifts right after t…,positive
2020-06-12,CHAZ,RT  : It's almost like people are taking over streets from the police because they're are tired of being killed by them. #CHAZ #Bla…,positive
2020-06-12, ,"RT  : Corky Messner ( ) will be a fantastic Senator for New Hampshire! A West Point graduate, he served our Co…",neither
2020-06-12,BlackLivesMatter,RT  : This is why the protest won't end anytime soon. #BlackLivesMatter,positive
2020-06-13,RobertFuller,"RT  : #RobertFuller’s family has been demanding answers for 2 days, the police tried to not only quietly pass it off as a suici…",positive
2020-06-13, ,RT  : Two Black Trans women murdered. Barely any media coverage. Just imagine what the world would look like if we showed up fo…,positive
2020-06-13,BlackLivesMatter,We cannot remain silent. #BlackLivesMatter  ,positive
2020-06-13, ,RT  : I just don’t understand the need for such excessive force. I have always had so much respect for the difficult job police…,neither
2020-06-13, ,RT  : ALL BLACK LIVES MATTER. 🏳️‍🌈✊🏽💔,negative
2020-06-13, ,RT  : Every single letter was designed by Black artists from the Seattle area. 🥰,positive
2020-06-13, ,RT  : Every single letter was designed by Black artists from the Seattle area. 🥰,positive
